Geographic code / Code géographique ,"Geographic level, English / Niveau géographique, anglais","Geographic level, French / Niveau géographique, français","Geography name, type, province or territory abbreviation, English / Nom de la géographie, type, province ou territoire abréviation, anglais","Geography name, type, province or territory abbreviation, French / Nom de la géographie, type, province ou territoire abréviation, français","Geography name, English / Nom de la géographie, anglais","Geography name, French / Nom de la géographie, français","Type, English / Type, anglais","Type, French / Type, français","Geography level, English / Niveau géographique, anglais","Geography level, French / Niveau géographique, français",Long-form data quality flag / Indicateur relatif à la qualité des données,"Global non-response rate (GNR), long-form census questionnaire / Taux global de non-réponse (TGN), questionnaire détaillé ","Occupied private dwellings, 2016 / Logements privés occupés, 2016","Rate of core housing need, 2006 (1)/ Taux des besoins impérieux en matière de logement, 2006(1)","Rate of core housing need, 2011(1) / Taux des besoins impérieux en matière de logement, 2011(1)","Rate of core housing need, 2016(1) / Taux des besoins impérieux en matière de logement, 2016(1)","Number of households in core housing need, 2016 / Nombre de logements qui avait des besoins impérieux en matière de logement, 2016","Core housing need, Unsuitable only, 2016 / Besoins impérieux en matière de logement, de taille non convenable seulement, 2016","Core housing need, Inadequate only, 2016 / Besoins impérieux en matière de logement, inadéquat seulement, 2016","Core housing need, Unaffordable only, 2016 / Besoins impérieux en matière de logement, inabordable seulement, 2016","Core housing need, two or more dimensions, 2016 / Besoins impérieux en matière de logement, 2016","Rate of unaffordable housing, 2006(4) / Taux de logements non abordables, 2006(4)","Rate of unaffordable housing, 2011(4) / Taux de logements non abordables, 2011(4)","Rate of unaffordable housing, 2016(4) / Taux de logements non abordables, 2016(4)","Unaffordable housing not in core need, 2016 / Logement inabordable n'étant pas dans les besoins impérieux, 2016","Unaffordable housing in core need, 2016 / Logement inabordable, dans les besoins impérieux, 2016","Unaffordable housing not applicable for core need, 2016 / Logement inabordable, pas applicable aux besoins impérieux, 2016","Rate of unaffordable housing, owner-households, 2016(4) / Taux de logements inabordables, ménages en propriétés, 2016(4)","Rate of unaffordable housing, renter-households, 2016(4) / Taux de logements inabordables, ménages en locations, 2016(4)","Rate of inadequate housing, 2006(3) / Taux de logements inadéquats, 2006(3)","Rate of inadequate housing, 2011(3) / Taux de logements inadéquats, 2011(3)","Rate of inadequate housing, 2016(3) / Taux de logements inadéquatsm, 2016(3)","Inadequate housing not in core need, 2016 / Logement inadéquat, pas dans les besoins impérieux, 2016","Inadequate housing in core need, 2016 / Logement inadéquat, dans les besoins impérieux, 2016","Inadequate housing not applicable for core need, 2016 / Logement inadéquat, pas applicable aux besoins impérieux, 2016","Rate of unsuitable housing, 2006(2) / Taux de logements de taille non convenable, 2006(2)","Rate of unsuitable housing, 2011(2) / Taux de logements de taille non convenable, 2011(2)","Rate of unsuitable housing, 2016(2) / Taux de logements de taille non convenable, 2016(2)","Unsuitable housing not in core need, 2016 / Logement de taille non convenable, pas dans les besoins impérieux, 2016","Unsuitable housing in core need, 2016 / Logement de taille non convenable, dans les besoins impérieux, 2016","Unsuitable housing not applicable for core need, 2016 / Logement de taille non convenable, pas applicable aux besoins impérieux, 2016"
1,Country,Pays,Canada,Canada,Canada,Canada,Country,Pays,Country,Pays,20000,5.1,14072080,12.7,12.5,12.7,1693775,72100,75405,1288315,257960,24.2,25.2,24.1,1326850,1534765,464335,16.6,40,7.5,7.4,6.5,604840,228450,87195,6.2,6,4.9,439875,200935,54925
10,PR,PR,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PR,PR,Province / Territory,Province / Territoire,0,6.8,218675,14.2,11.4,10.5,22495,250,2555,17350,2335,18.4,17.9,17.2,14290,19590,3620,10.6,39.4,7.9,8.1,6.5,9040,4605,565,3.4,2.8,1.8,3070,665,250
11,PR,PR,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Île-du-Prince-Édouard,PR,PR,Province / Territory,Province / Territoire,0,5.6,59475,12.6,9.2,8.5,4870,80,350,3835,615,20.8,19.5,18.6,5155,4435,1260,11.1,36.3,8.6,7.5,7.6,3405,870,265,3.8,3.7,2.4,1145,195,95
12,PR,PR,Nova Scotia,Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,PR,PR,Province / Territory,Province / Territoire,0,5.5,401990,12.1,12.5,12.8,49450,1090,4095,36635,7625,21.9,22.3,21.6,30270,44025,11020,12,42.8,9.5,9.9,8.8,22755,10300,2320,3.8,3.7,2.9,7590,3000,960
13,PR,PR,New Brunswick,Nouveau-Brunswick,New Brunswick,Nouveau-Brunswick,PR,PR,Province / Territory,Province / Territoire,0,4.9,319770,10.3,9.9,9,27715,620,2810,20375,3905,18.4,18.9,16.8,23070,24115,5750,10.3,36.5,9.7,9.8,8.3,18495,6150,1975,3.4,3.1,2.3,5385,1475,545
24,PR,PR,Quebec,Québec,Quebec,Québec,PR,PR,Province / Territory,Province / Territoire,20000,4.3,3531660,10.6,10.8,9,305585,9040,10390,245635,40525,21.9,23.4,21,363165,284810,85380,12.9,33.7,7.7,7.2,6.4,176560,37635,12840,4.8,4.8,3.8,100330,25320,7100
35,PR,PR,Ontario,Ontario,Ontario,Ontario,PR,PR,Province / Territory,Province / Territoire,20000,4.6,5169175,14.5,13.4,15.3,748315,35110,25035,562965,125195,26.9,27,27.7,525175,682830,203895,19.8,45.7,6.6,6.6,6.1,200530,92745,24560,7.6,7.2,6,186640,104795,19570
46,PR,PR,Manitoba,Manitoba,Manitoba,Manitoba,PR,PR,Province / Territory,Province / Territoire,0,5.3,489050,11.3,10.3,11.4,51125,3420,4525,34280,8905,18,19.4,19.1,33510,42560,11940,11.4,36.9,10.3,10.7,9,24625,9805,9630,6.7,7,6.7,18195,8130,6360
47,PR,PR,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,PR,PR,Province / Territory,Province / Territoire,0,6.3,432620,11.8,13.2,13.4,51755,2330,5065,37120,7240,19.7,20.4,20.2,26745,43945,9600,12.1,42.1,10.5,10.7,8.7,18475,9465,9575,4.7,5.1,4.7,9610,5860,4930
48,PR,PR,Alberta,Alberta,Alberta,Alberta,PR,PR,Province / Territory,Province / Territoire,20000,6.1,1527680,10.1,10.7,11.4,164280,6445,8460,127695,21675,21.5,23.7,20.9,120315,148480,39690,15.1,36,6.7,7,5.7,54490,21215,11530,5.2,5,4.5,45680,17070,6370
