Department / Agency / Crown Corporation,Ministère/organisme/société d'État,Program name,Nom de programme,Category,Catégorie,Project name,Nom de projet,Project description,Description du projet,Recipient type,Type de destinataire,Ultimate recipient name,Nom du destinataire final,Program contribution,Estimated total project cost,Contribution du programme,Coût total estimé du projet,Funding date / estimated start date,Funding date / Date de début estimée,Province/Territory,Province/Territoire,Municipality / Community,Municipalité / Communauté,Icon,Latitude,Longitude,Additional information,informations complémentaires,
Infrastructure Canada,Infrastructure Canada,Building Canada Fund - Major Infrastructure Component,Fonds Chantiers Canada - Volet Grandes infrastructures,Mitigation - Transportation,Atténuation - transport,Finch West Light Rail Transit Project ,Projet de transport léger sur rail Finch Ouest,Not Available,Sans objet,Province or Territory,Province ou Territoire,Ontario Ministry of Transportation,"Ontario, Ministère des Transports de l'","$333,000,000.00","$1,292,100,000.00",$333 000 000,$1 292 100 000,Spring 2018,Printemps 2018,Ontario,Ontario,Toronto,Toronto,Public Transit,43.780411,-79.414828,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/prog/bcf-fcc-eng.html"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/prog/bcf-fcc-fra.html"">Site web du programme</a>",
Natural Resources Canada,Ressources naturelles Canada,Building Regional Adaptation Capacity and Expertise,Programme Renforcer la capacité et l’expertise régionales en matière d’adaptation,Adaptation - Other,Adaptation - autre,Building and sustaining infrastructure resilience through targeted climate adaptation training for professionals in Newfoundland and Labrador,Renforcement et soutien de la résilience des infrastructures grâce à une formation ciblée sur l’adaptation au climat pour les professionnels de Terre-Neuve-et-Labrador,This project will build capacity among professional engineers to integrate climate change considerations into decision-making processes and investments for adaptation and resilience of infrastructure ,Ce projet permettra d’accroître et de soutenir la capacité des ingénieurs à intégrer les considérations liées aux changements climatiques dans les processus décisionnels et les investissements liés à l’adaptation et la résilience des infrastructures ,Academic Institution,Institution académique,Memorial University,Memorial University,"$122,015.00","$286,385.00",$122 015,$286 385,Not available,Sans objet,Newfoundland and Labrador,Terre-Neuve-et-Labrador,St. John's,St. John's,Adaptation,47.5615,-52.7126,"<a target=""_blank"" href=""https://www.nrcan.gc.ca/environment/impacts-adaptation/BRACE/21324"">Program website</a>","<a target=""_blank"" href=""https://www.rncan.gc.ca/environnement/impacts-adaptation/RCERA/21325"">Site web du programme</a>",
Environment and Climate Change Canada,Environnement et Changement Climatique Canada,Climate Action Fund,Le Fonds d’action pour le climat,Other,Autres,Climate Action School,École de l’action climatique,Climate Action School seeks to develop and implement climate-focused curriculum and hands-on workshops for students in Nova Scotia that draws upon traditional Mi'kmaq and scientific knowledge to increase awareness and stewardship and build skills.,"Afin d’accroître la sensibilisation et la gérance en plus de favoriser l’acquisition de compétences, la ""Climate Action School"" cherche à élaborer et à mettre en œuvre des programmes d’études et des ateliers pratiques axés sur le climat pour les élèves de la Nouvelle-Écosse, s’appuyant sur les connaissances traditionnelles des Micmacs et sur les connaissances scientifiques.",Private Non-Profit,Privé sans but lucratif,"Students, Youth, Indigenous Governments or Organizations","Étudiants, Jeunes, Gouvernement ou organisation autochtone","$118,964","$118,964",$118 964,$118 964,"January 3, 2019","3 janvier, 2019",Nova Scotia,Nouvelle-Écosse,Not available,Sans objet,Other,44.666639,-63.565171,"<a target=""_blank"" href=""https://www.canada.ca/en/environment-climate-change/services/climate-change/low-carbon-economy-fund.html"">Program website</a>","<a target=""_blank"" href=""https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/fonds-economie-faibles-emissions-carbone.html"">Site web du programme</a>",
Environment and Climate Change Canada,Environnement et Changement Climatique Canada,Climate Action Fund,Le Fonds d’action pour le climat,Other,Autres,Accelerating to Zero Carbon,Accélération de l’atteinte de la neutralité en carbone,"Accelerating to Zero Carbon - enable Zero Carbon Buildings across Canada by supporting small- and medium-sized Enterprises (SMEs), with a specific focus on architectural, engineering and renewable energy firms, to increase their knowledge for the design, adoption and application of Zero Carbon Buildings. The project will create capacity for Zero Carbon Buildings with the support of leading colleges and industry association partners including but not limited to George Brown College, Humber College, British Columbia Institute of Technology and the Royal Architectural Institute of Canada, and by engaging Canada Green Building Council’s 1,000 emerging green building professional members (young professionals and students) who are eager to make Zero Carbon Buildings the norm. Begins January 2, 2019 and ends December 31, 2019.","Accélération de l’atteinte de la neutralité en carbone - Permettre la construction de bâtiments à carbone zéro partout au Canada en appuyant les petites et moyennes entreprises (PME), en mettant l’accent sur les entreprises d’architecture, d’ingénierie et d’énergie renouvelable, afin d’accroître leurs connaissances pour la conception, l’adoption et l’application de bâtiments à carbone zéro. Le projet créera une capacité de construction de bâtiments sans émission de carbone grâce à l’appui d’établissements d’enseignement et de partenaires d’associations industrielles de premier plan, notamment le George Brown College, le Humber College, l’Institut de technologie de la Colombie-Britannique et l’Institut royal d’architecture du Canada, ainsi qu’en mobilisant les 1 000 membres professionnels en début de carrière et axés sur l’écologie (de jeunes professionnels et des étudiants) du Conseil du bâtiment durable du Canada, qui aspirent à ce que les bâtiments à carbone zéro deviennent la norme. Le projet a débuté le 2 janvier 2019 et se terminera le 31 décembre 2019.",Private Non-Profit,Privé sans but lucratif,"Students, Youth, Private For-Profit","Étudiants, Jeunes, Privé à but lucratif","$496,333","$496,333",$496 333,$496 333,"January 3, 2019","3 janvier, 2019",Multiple,Multiples,Not available,Sans objet,Other,45.429679,-75.693113,"<a target=""_blank"" href=""https://www.canada.ca/en/environment-climate-change/services/climate-change/low-carbon-economy-fund.html"">Program website</a>","<a target=""_blank"" href=""https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/fonds-economie-faibles-emissions-carbone.html"">Site web du programme</a>",
Environment and Climate Change Canada,Environnement et Changement Climatique Canada,Climate Action Fund,Le Fonds d’action pour le climat,Other,Autres,"Driving Climate Action through Outreach and Promotion in the Hamilton - Burlington ""Bay Area""",Promouvoir les mesures relatives à la lutte contre les changements climatiques par la sensibilisation et la promotion dans la « Bay Area » de Hamilton - Burlington,"This project will drive climate action through outreach and promotion that engages the (Hamilton - Burlington) Bay Area community to build awareness and understanding of climate change impacts and practical actions, targeting youth and small- and medium-sized enterprises (SMEs). In order to achieve this, the Centre for Climate Change at Mohawk (CCCM), a multi-sector regional collaboration, will focus on a project called the Bay Area Climate Change Office (BACCO). BACCO aims mainly to advance deep climate actions in the Bay Area. The project will include a national-scale, multi-day, multi-partner Climate Change Summit with a Youth Climate Change Summit to motivate and empower individuals and organizations to take action in their communities. In addition, the Collaboration will organize a series of free public seminars on community climate change. A strategic Climate Communications plan will support all of the above. This preparation, which is anticipated as the bulk of the work, will take place in the first fiscal year, and will also include the development of the required materials.","Ce projet favorisera la lutte contre les changements climatiques grâce à des activités de sensibilisation et de promotion qui mobilisent la collectivité de la Bay Area (Hamilton-Burlington) pour sensibiliser et comprendre les répercussions des changements climatiques et les mesures pratiques, en ciblant les jeunes et les PME. Pour ce faire, le Centre de gestion des changements climatiques du Mohawk College (CGCCMC), une collaboration régionale multisectorielle, se concentrera sur un projet appelé le Bay Area Climate Change Office (BACCO). Le BACCO vise principalement à faire progresser des mesures profondes relatives à la lutte contre les changements climatiques dans la Bay Area. Le projet comprendra un sommet national de plusieurs jours sur les changements climatiques, réunissant plusieurs partenaires, ainsi qu’un sommet sur les changements climatiques pour les jeunes, afin de motiver et d’habiliter les personnes et les organisations à prendre des mesures dans leurs collectivités. De plus, la collaboration permettra l’organisation d’une série de séminaires publics gratuits sur les changements climatiques dans les collectivités. Un plan stratégique de communication sur le climat appuiera tout ce qui précède. Cette préparation, qui devrait constituer la majeure partie du travail, aura lieu au cours du premier exercice et comprendra également l’élaboration des documents requis.",Academic institution,Institution académique,"Students, Youth, Indigenous Governments or Organizations, Private For-Profit","Étudiants, Jeunes, Gouvernement ou organisation autochtone, Privé à but lucratif","$262,610","$374,275",$262 610,$374 275,"October 22, 2018","22 octobre, 2018",Ontario,Ontario,Not available,Sans objet,Other,43.238709,-79.888071,"<a target=""_blank"" href=""https://www.canada.ca/en/environment-climate-change/services/climate-change/low-carbon-economy-fund.html"">Program website</a>","<a target=""_blank"" href=""https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/fonds-economie-faibles-emissions-carbone.html"">Site web du programme</a>",
Environment and Climate Change Canada,Environnement et Changement Climatique Canada,Climate Action Fund,Le Fonds d’action pour le climat,Other,Autres,Youth Climate Change Ambassador Program,Programme des jeunes ambassadeurs du changement climatique,"This group will plan an event (which will engage with various levels of government, enviornment NGOS and businesses and seek to recruit youth for the program), further youth recruitment, development of the Youth Ambassador program itself, followed by the training of the 40 selected youth. Upon recieving their training, Ambassadors will work with Ecology Ottawa to host four public events that focus on areas relevant to Ottawa becoming a climate leader. Youth will also be expected to make one presentation to either schools or other interested groups. ","Ce groupe planifiera un événement (qui mobilisera les divers ordres de gouvernement, les ONG et entreprises en environnement et cherchera à recruter des jeunes pour le programme), le recrutement accru de jeunes, l’élaboration du programme des jeunes ambassadeurs lui-même, suivi de la formation des 40 jeunes sélectionnés. Lorsqu’ils recevront leur formation, les ambassadeurs travailleront avec Écologie Ottawa afin d’organiser quatre événements publics axés sur des domaines pertinents pour qu’Ottawa devienne un chef de file en matière de climat. Les jeunes devront également faire une présentation à l’école ou à d’autres groupes intéressés. ",Private Non-Profit,Privé sans but lucratif,"Students, Youth","Étudiants, Jeunes","$125,000","$164,000",$125 000,$164 000,"January 3, 2019","3 janvier, 2019",Ontario,Ontario,Not available,Sans objet,Other,45.426541,-75.690006,"<a target=""_blank"" href=""https://www.canada.ca/en/environment-climate-change/services/climate-change/low-carbon-economy-fund.html"">Program website</a>","<a target=""_blank"" href=""https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/fonds-economie-faibles-emissions-carbone.html"">Site web du programme</a>",
Environment and Climate Change Canada,Environnement et Changement Climatique Canada,Climate Action Fund,Le Fonds d’action pour le climat,Other,Autres,Random Acts of Green App Implementation,Mise en œuvre de l’application « Random Acts of Green »,"The “Random Acts of Green” App aims to encourage both individuals and organizations to reduce their GHG production actively. The App will include incentives such as “Green Points” and discounts on its online catalogue that will be rewarded according to the self-reported amount of reduced GHG production. Although the development of the App was approved and funded in January 2018, the cancellation of the Cap and Trade program resulted in the loss of funds to implement it and measure its effectiveness. The funds will be used to spread awareness  and use of the App; to spearhead quarterly effective public social media GHG reduction challenges; to help companies build, develop, and maintain Corporal Social Responsibility programs; and to monitor, analyze, evaluate and report on the amount of GHG emissions reduced individually and collectively across Canada.","L’application « Random Acts of Green » vise à encourager les particuliers et les organisations à réduire activement leur production de GES. L’application comprendra des mesures incitatives comme des « points verts » et des rabais dans son catalogue en ligne qui seront accordés en fonction de la quantité autodéclarée de réduction de la production de GES. Bien que l’élaboration de l’application ait été approuvée et financée en janvier 2018, l’annulation du programme de plafonnement et d’échange a entraîné la perte de fonds pour sa mise en œuvre et l’évaluation de son efficacité. Les fonds serviront à faire connaître l’application et son utilisation; à lancer des défis trimestriels efficaces de réduction des GES dans les médias sociaux publics; à aider les entreprises à élaborer, à mettre en œuvre et à maintenir des programmes de responsabilité sociale des entreprises; ainsi qu’à surveiller, analyser et évaluer la quantité d’émissions de GES réduites individuellement et collectivement à l’échelle du Canada, ainsi qu’à produire des rapports à l’égard de ces dernières.",Private For-Profit,Privé à but lucratif,Private For-Profit,Privé à but lucratif,"$200,000","$408,600",$200 000,$408 600,"January 3, 2019","3 janvier, 2019",National,National,Not available,Sans objet,Other,44.292247,-78.330096,"<a target=""_blank"" href=""https://www.canada.ca/en/environment-climate-change/services/climate-change/low-carbon-economy-fund.html"">Program website</a>","<a target=""_blank"" href=""https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/fonds-economie-faibles-emissions-carbone.html"">Site web du programme</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Arviat Young Hunters Ujjiqsuiniq Project,Projet Ujjiqsuiniq des jeunes chasseurs d’Arviat,"The Aqqiumavvik Society is developing a climate change observations and monitoring curriculum, for delivery as part of their Young Hunters Program. This curriculum is being developed and piloted with additional work identifying a long-term funding source for the Young Hunters Program in the community.",L’Aqqiumavvik Society élabore un programme d’études sur les observations et la surveillance des changements climatiques à offrir dans le cadre de son Programme des jeunes chasseurs. Ce programme d’études est en cours d’élaboration et de mise à l’essai avec une tâche supplémentaire qui consiste à trouver une source de financement à long terme pour le Programme des jeunes chasseurs dans la communauté.,Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Aqqiumavvik Society,Aqqiumavvik Society,"$575,342",Not available,$575 342,Sans objet,Fall 2018,Automne 2018,Nunavut,Nunavut,Arviat,Arviat,Adaptation,61.1078,-94.0624,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Building Food Sustainability: TH Farm Meat Bird and Egg Production,Bâtir la durabilité alimentaire : Production d’oiseaux de chair et production d’œufs sur ferme de la Première Nation des Tr’ondëk Hwëch’in,"The Tr’ondëk Hwëch’in First Nation is looking to supplement salmon stocks, which are in decline due to climate change, with non-traditional food sources, such as chicken meat and eggs. The funds are being used to hire contractors to build expand the current coop (materials already purchased), and fund two farm staff. There is also an education component of the project, with participation of the local elementary school. ","La Première Nation des Tr’ondëk Hwëch’in cherche à augmenter les stocks de saumon, qui sont en déclin en raison des changements climatiques, par des sources de nourriture non traditionnelles, comme la viande de poulet et les œufs. Les fonds servent à embaucher des entrepreneurs qui agrandiront la coopérative actuelle (matériaux déjà achetés) et à payer deux employés agricoles. Le projet comporte également un volet éducatif, avec la participation de l’école élémentaire locale.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Tr’ondëk Hwëch’in ,Tr’ondëk Hwëch’in ,"$81,000",Not available,$81 000,Sans objet,Winter 2018,Hiver 2018,Yukon,Yukon,Dawson City,Dawson City,Adaptation,64.0601,-139.432,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Cleaner Air Shelters,Refuges antipollution,"The Department of Health and Social Services (DHSS) is undertaking an assessment of the availability and suitability of clean air (and heat) shelters across the Northwest Territories (NWT). This includes site visits to all locations in each of the 33 NWT communities.The Government of the NWT is undertaking this work, through the hiring of a consultant. ",Le ministère de la Santé et des Services sociaux (MSSS) entreprend une évaluation de la disponibilité et de la pertinence des refuges antipollution (et contre la chaleur) partout dans les Territoires du Nord-Ouest. Cela comprend des visites sur place de chacune des 33 communautés des Territoires du Nord-Ouest. Le gouvernement des Territoires du Nord Ouest mettra en œuvre cette évaluation en embauchant un consultant. ,Province or Territory,Province ou Territoire,"Department of Health and Social Services, Government of the Northwest Territories","Ministère de la Santé et des Services sociaux , Gouvernement des Territoires du Nord-Ouest","$100,000",Not available,$100 000,Sans objet,Winter 2018,Hiver 2018,Northwest Territories,Territoires du Nord-Ouest,Pan-Territory,Pan-Territory,Adaptation,62.454,-114.3718,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
